"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 10 11:58:32 CST 2021","Tue Aug 10 11:58:58 CST 2021","25886","Testcase","test_one","TestLogin","","","新增荣誉-荣誉名称信息错误",""
"passed","Tue Aug 10 11:57:18 CST 2021","Tue Aug 10 11:57:27 CST 2021","9828","Testcase","test_one","TestLogin","","","账号或密码长度不够",""
"passed","Tue Aug 10 11:58:58 CST 2021","Tue Aug 10 11:59:24 CST 2021","26007","Testcase","test_one","TestLogin","","","新增荣誉-荣誉等级错误",""
"passed","Tue Aug 10 11:57:27 CST 2021","Tue Aug 10 11:57:37 CST 2021","9839","Testcase","test_one","TestLogin","","","登录成功",""
"passed","Tue Aug 10 11:57:07 CST 2021","Tue Aug 10 11:57:18 CST 2021","10836","Testcase","test_one","TestLogin","","","账户或密码错误",""
"passed","Tue Aug 10 11:57:37 CST 2021","Tue Aug 10 11:58:06 CST 2021","28833","Testcase","test_one","TestLogin","","","新增教师荣誉成功",""
"passed","Tue Aug 10 11:58:06 CST 2021","Tue Aug 10 11:58:32 CST 2021","25613","Testcase","test_one","TestLogin","","","新增荣誉-荣誉名称信息错误",""
